"100 férőhelyes","100 férőhelyeswith a seating capacity of 100"
"100 éves múltra tekint vissza (intézmény)","100 éves múltra tekint vissza (intézmény)dates back 100 years"
"14 %-os növekedést jelent a ...-hoz képest","14 %-os növekedést jelent a ...-hoz képestrepresents a 14 percent increase over the $30.37 price of last year"
"1979. jan. végén (táblázat fejléce)","1979. jan. végén (táblázat fejléce)End-Jan 1987"
"1988. szeptember 1-i tárcámban","1988. szeptember 1-i tárcámbanin my September 1, 1988 column"
"24. és a következő oldalak","24. és a következő oldalak24 et seq."
"30 amperes (?)","30 amperes (?)thirty amps"
"50 %-os az esélye, hogy ...","50 %-os az esélye, hogy ...has a fifty-fifty chance to (do)"
"517 skv. (s következő oldalak)","517 skv. (s következő oldalak)517 et seq."
"a ..-tól kapott céltámogatás segítségével","a ..-tól kapott céltámogatás segítségévelwas developed under a grant from ..."
"a ... - mint bármely más - ...","a ... - mint bármely más - ...the ..., like any other, ..."
"a ... a ... dolga","a ... a ... dolgathe ... is a matter for the ..."
"a ... a ... nyelvére fordítva ...-t jelent (átv.)","a ... a ... nyelvére fordítva ...-t jelent (átv.)... is translated into ..."
"a ... a ...-val magyarázható","a ... a ...-val magyarázhatóthe ... is accounted for by the ..."
"a ... aktuális kérdései","a ... aktuális kérdéseipresent-day issues in ..."
"a ... az olvasó életkorával magyarázható","a ... az olvasó életkorával magyarázhatóthe age of the reader is responsible for the ..."
"a ... beleintegrálása a ...-ba","a ... beleintegrálása a ...-bathe integration of ... into the ..."
"a ... bemeneteinek jelölése","a ... bemeneteinek jelölésenames of the inputs of the ..."
"a ... csökkenő sorrendjében","a ... csökkenő sorrendjébenin descending order according to the percentage of ..."
"a ... céljaitól vezérelve","a ... céljaitól vezérelveguided by the purposes and principles of the ..."
"a ... egyik módja a ...-nak","a ... egyik módja a ...-nakproduction is one mode of acquisition"
"a ... elméleti és gyakorlati problémái (cím)","a ... elméleti és gyakorlati problémái (cím)the theoretical and practical problems of ..."
"a ... elvei (cím)","a ... elvei (cím)Principles in ..."
"A ... elvei és gyakorlata. (cím)","A ... elvei és gyakorlata. (cím)...: policy and practice"
"a ... előírásai szerint kell megadni (adatot)","a ... előírásai szerint kell megadni (adatot)is given according to the provisions of 2.3.1"
"a ... engedélyével (illusztráció, szakkönyvben)","a ... engedélyével (illusztráció, szakkönyvben)(Courtesy ... Museum)"
"a ... esetében (területén)","a ... esetében (területén)with ephemera"
"a ... esetében ez különösen így van","a ... esetében ez különösen így vanthis is especially true for ..."
"a ... fejlődési irányai","a ... fejlődési irányaicurrent trends in ..."
"a ... fejlődési irányai (cím)","a ... fejlődési irányai (cím)Directions in library networking."
"a ... felhasználása az oktatásban","a ... felhasználása az oktatásbanthe educational use of ..."
"a ... feltétel teljesül","a ... feltétel teljesülthe ... condition is met"
"a ... formájában","a ... formájábanin the form of ..."
"a ... fényében","a ... fényébenin light of the ..."
"a ... függelék tartalmazza","a ... függelék tartalmazzathe questionnaire is reproduced in Appendix 2."
"a ... függvénye (átv.)","a ... függvénye (átv.)the variations in price are a factor of size"
"a ... gyakorlati problémái","a ... gyakorlati problémáipractical problems in ..."
"a ... gyakorlati szempontból (cím)","a ... gyakorlati szempontból (cím)...: a practical view"
"a ... használata révén","a ... használata révénthrough the use of ..."
"a ... helyzete a ...-hoz képest","a ... helyzete a ...-hoz képestthe position of the screen relative to the head"
"a ... háttere","a ... hátterebackground for ... <br/><br/>background to ..."
"a ... irodalma (szakirodalom)","a ... irodalma (szakirodalom)the literature of ..."
"a ... javaslatára","a ... javaslatáraat the observer's suggestion she tried to ..."
"a ... jelenlegi helyzete","a ... jelenlegi helyzetethe current state of ..."
"a ... keretében","a ... keretébenthe branch libraries under a campus-wide circulation system"
"a ... kezdetei (cím)","a ... kezdetei (cím)the origins of ..."
"a ... kifejezést itt a legszélesebb értelemben használjuk","a ... kifejezést itt a legszélesebb értelemben használjuk""..."" is here used in the broadest sense and refers to ..."
"a ... kivételével","a ... kivételévelall the plant groups except the ... <br/><br/>save that ... <br/><br/>with the exception of ... <br/><br/>with the exclusion of ..."
"a ... konferencián tartott előadás","a ... konferencián tartott előadáspaper given to the ... conference"
"a ... korlátai","a ... korlátaithe limits of computer-aided instruction"
"a ... kritériumai","a ... kritériumaicriteria for ..."
"a ... kulcsa","a ... kulcsathe key to administration"
"a ... kérdése vitatéma maradt","a ... kérdése vitatéma maradtthe question of ... remained a matter of discussion"
"A ... kérdéséhez. (cím)","A ... kérdéséhez. (cím)A note on ..."
"A ... körvonalai. (cím)","A ... körvonalai. (cím)Outlines of ..."
"a ... következik (egy téma taglalásában)","a ... következik (egy téma taglalásában)The ... comes next."
"a ... következményei az oktatásügyre (cím)","a ... következményei az oktatásügyre (cím)Educational implications of the ..."
"a ... következtében","a ... következtébenin consequence of ..."
"a ... központi kérdése a ...","a ... központi kérdése a ...what is central to manpower planning is the nature of ..."
"a ... közreműködésével","a ... közreműködésévelis read into the store by the action of the input unit"
"a ... között tett megkülönböztetés","a ... között tett megkülönböztetésthe distinction made between ..."
"a ... közötti egyetlen különbség, hogy ...","a ... közötti egyetlen különbség, hogy ...the only difference between ... and ... lies in ..."
"a ... különösen ...","a ... különösen ...American librarians, in particular, seem ..."
"a ... különösen.","a ... különösen.libraries share premises with other agencies, CABx in particular."
"a ... küszöbén állunk (átv.)","a ... küszöbén állunk (átv.)we are on the threshold of ..."
"a ... lényegét tekintve egy ...","a ... lényegét tekintve egy ...the ... is quintessentially a ..."
"a ... megfelelője (filmjelenet könyvrészletnek)","a ... megfelelője (filmjelenet könyvrészletnek)equivalent to ..."
"a ... megfelelőjének tekintik","a ... megfelelőjének tekintikis regarded as the analogue of ..."
"a ... meghonosítása (cím)","a ... meghonosítása (cím)introducing ..."
"a ... megjelenése forradalmasítani fogja a ...-t","a ... megjelenése forradalmasítani fogja a ...-tthe arrival of ... will revolutionise ..."
"a ... megjelenésével","a ... megjelenésévelwith the advent of the computer, scientists began to ..."
"a ... megközelítés esetében","a ... megközelítés esetébenwith diachronous studies, ..."
"a ... megkülönböztető jegyei","a ... megkülönböztető jegyeidistinguishing features of ..."
"a ... mellett működő munkacsoport","a ... mellett működő munkacsoportthe Working Party on ... in association with Loughborough University"
"a ... mellett szól, hogy ...","a ... mellett szól, hogy ...an additional feature in favor of a ... is the fact that ..."
"a ... mellett érvel (azt szorgalmazza)","a ... mellett érvel (azt szorgalmazza)the book argues for a ..."
"a ... mellett érvelve","a ... mellett érvelvetelling arguments for the ..."
"a ... mintájára kialakított ...","a ... mintájára kialakított ...... modelled on ..."
"a ... miértje","a ... miértjethe""why"" of library classification"
"a ... márciusi számában","a ... márciusi számábanin the March edition of Adult Education"
"a ... más dolog.","a ... más dolog.... is another story."
"a ... még előttünk állt (történetben)","a ... még előttünk állt (történetben)the ... was yet to come"
"a ... mérlege (alcím)","a ... mérlege (alcím)...: an assessment."
"a ... módszere","a ... módszeremethod for (doing)"
"a ... működését a ... szabályozza","a ... működését a ... szabályozzathe operation of a ... is governed by the ..."
"a ... nagyrésze","a ... nagyrészelarge proportion of ..."
"a ... néhány sajátossága (cím)","a ... néhány sajátossága (cím)Some characteristics of ..."
"a ... növekvő sorrendjében","a ... növekvő sorrendjébenin ascending order of their ages"
"a ... problémáinak kutatása","a ... problémáinak kutatásaresearch into problems of ..."
"a ... példáján mutatta be, hogy ...","a ... példáján mutatta be, hogy ...using the ... as his example, showed that ..."
"a ... rendszerelméleti megközelítése","a ... rendszerelméleti megközelítésea system approach to ..."
"a ... rovására","a ... rovásáraat the expense of ..."
"a ... részeként","a ... részekéntas part of the ..."
"a ... részletes ismertetése (cím)","a ... részletes ismertetése (cím)Detailed discussion of the ..."
"a ... részéről (intézmény képviseletében)","a ... részéről (intézmény képviseletében)Imre Jármy of the Library of Congress"
"A ... rövid története. (cím)","A ... rövid története. (cím)Brief history of ..."
"a ... rövidítés ...-t jelöl","a ... rövidítés ...-t jelölthe abbreviation 'sd' indicates a sound film"
"a ... rövidítéssel a ...-t fogjuk jelölni","a ... rövidítéssel a ...-t fogjuk jelölnithe abbreviation ... will be used to refer to the ..."
"a ... segítségével fejlesztették ki","a ... segítségével fejlesztették kithe ... has been developed with the aid of ..."
"a ... sorsa","a ... sorsathe fate of the information contained in ..."
"a ... során gyakran felmerülő nehészégek","a ... során gyakran felmerülő nehészégekdifficulties which are often encountered when (doing)"
"a ... szabályait követve","a ... szabályait követveunder the rules of ..."
"a ... számon iktatott levelére válaszul, ...","a ... számon iktatott levelére válaszul, ...In reply to your letter Ref. ..., ..."
"a ... szószólói (hívei)","a ... szószólói (hívei)the visual media advocates"
"a ... születik vagy azzá lesz?","a ... születik vagy azzá lesz?Are leaders born or made?"
"a ... tapasztalatai szerint","a ... tapasztalatai szerintin The Industrial Society's experience"
"a ... tartományban fekszik","a ... tartományban fekszikthese digits must lie in the range 0-9"
"a ... tematikus megközelítése","a ... tematikus megközelítésesubject-based approach of ... (?)"
"a ... táblázat folytatása","a ... táblázat folytatásaTable 4-1 cont."
"a ... támogatásával készült (jelentés)","a ... támogatásával készült (jelentés)was prepared under the sponsorship of the ..."
"a ... társadalmi-gazdasági jelentősége","a ... társadalmi-gazdasági jelentőségesocio-economic implications of ..."
"a ... társadalmi-gazdasági kihatásai","a ... társadalmi-gazdasági kihatásaisocio-economic implications of ..."
"a ... tükörképe","a ... tükörképemirror image of ..."
"a ... után rátér a ...-ra","a ... után rátér a ...-raafter (doing), it proceeds to a ..."
"a ... által szolgáltatott jegyzék","a ... által szolgáltatott jegyzéka list serviced by Faxon"
"a ... és a ... összefüggései (cím)","a ... és a ... összefüggései (cím)relationships between ... and ..."
"a ... és a ... összehasonlítása","a ... és a ... összehasonlításaA comparison of ... and ..."
"a ... és társadalmi összefüggései (cím)","a ... és társadalmi összefüggései (cím)... and its cosial aspects."
"a ... örömei. (cím; iron.)","a ... örömei. (cím; iron.)The enjoyment of ..."
"a ... összehasonlító táblázata","a ... összehasonlító táblázatacomparative table of ..."
"a ... új irányzatai","a ... új irányzataiNew directions in ..."
"a ... újdonsága abban áll, hogy ...","a ... újdonsága abban áll, hogy ...what is innovative about ... is that ..."
"a ...-ban lehetőséget láttak arra, hogy ...","a ...-ban lehetőséget láttak arra, hogy ...saw in the ... the opportunity for sy to do sg"
"a ...-hoz hasonló módon","a ...-hoz hasonló módonin the same way as in ..."
"a ...-hoz soroljuk","a ...-hoz soroljukthough numbered among the ..."
"a ...-ig bezárólag","a ...-ig bezárólagnegative integer, within the range 0 to +99 inclusive"
"a ...-k mekkája (szent helye; átv.)","a ...-k mekkája (szent helye; átv.)is the Mecca of ...'s"
"a ...-nak jut a nehéz feladat, hogy ...","a ...-nak jut a nehéz feladat, hogy ...To the library director falls the difficult job od (doing)"
"a ...-nak különösen a ... számára van jelentősége","a ...-nak különösen a ... számára van jelentőségethe ... has special significance for ..."
"a ...-nak semmi jelentősége sincs","a ...-nak semmi jelentősége sincsthere is no significance to the label L"
"a ...-nál használatos kölcsönző rendszer","a ...-nál használatos kölcsönző rendszerthe charging system in use at ..."
"a ...-on a ...-t értjük","a ...-on a ...-t értjükby ... is meant the ..."
"a ...-ra irányuló erőfeszítések","a ...-ra irányuló erőfeszítésekefforts for the ..."
"a ...-ra is van lehetőség a ... típus esetében","a ...-ra is van lehetőség a ... típus esetében... is possible with the VO-28607."
"a ...-ról akkor mondjuk, hogy ..., ha ...","a ...-ról akkor mondjuk, hogy ..., ha ...a ... is said to be automatic when it is able to ..."
"a ...-ról másutt már szóltunk (más műben)","a ...-ról másutt már szóltunk (más műben)the ... has been described elsewhere (2) and is therefore not covered here"
"a ...-t a legjobban a ... ismeri","a ...-t a legjobban a ... ismerithe ... is most familiar to the ..."
"a ...-t az 1. táblázat mutatja","a ...-t az 1. táblázat mutatja... is shown in table 1"
"a ...-t két adattal illusztráljuk","a ...-t két adattal illusztráljukTwo facts illustrate the ..."
"a ...-t részletesebben a ...-ban tárgyaljuk","a ...-t részletesebben a ...-ban tárgyaljuk(For a more detailed discussion of ... see Appendix I)"
"a ...-t érintő meggondolások (kapcsolatosak)","a ...-t érintő meggondolások (kapcsolatosak)considerations affecting ..."
"a ...-t úgy kapjuk meg, hogy ... (számszerű értéket)","a ...-t úgy kapjuk meg, hogy ... (számszerű értéket)the""..."" factor is arrived at by (doing)"
"a ...-tól a ...-on keresztül a ...-ig","a ...-tól a ...-on keresztül a ...-igfrom ... to ... to ..."
"a ...-tól eltérően","a ...-tól eltérőenmost computers, unlike our model, have a ..."
"a ...-tól felfelé","a ...-tól felfeléany kind of ..., from the abacus upwards, ..."
"a ...-val foglalkozik (könyv)","a ...-val foglalkozik (könyv)is concerned with the ..."
"a ...-val fogok foglalkozni (a cikkben)","a ...-val fogok foglalkozni (a cikkben)I shall concern myself with ..."
"a ...-val kapcsolatban","a ...-val kapcsolatbanexamines four themes in the relationship of ... <br/><br/>in connection with ..."
"a ...-val kapcsolatban felvetődő problémák","a ...-val kapcsolatban felvetődő problémákthe problems involved in the ..."
"a ...-val kapcsolatos ...","a ...-val kapcsolatos ...all procedures associated with the usage of the machine"
"a ...-val kapcsolatos döntés során","a ...-val kapcsolatos döntés soránin deciding upon the types of materia"
"a ...-val szemben megvan az az előnye, hogy ...","a ...-val szemben megvan az az előnye, hogy ...has the advantage over the ... that ..."
"a ...-val összefüggésben","a ...-val összefüggésbenin the library context"
"a ...-val összefüggő problémák (cím)","a ...-val összefüggő problémák (cím)problems connected with the ..."
"a ...-val összehasonlítva (... kontra ...)","a ...-val összehasonlítva (... kontra ...)said about specialists as opposed to general dealers"
"a 19. századi Németország","a 19. századi Németországexcept perhaps in 19th century Germany where ..."
"a 2 részes cikk 1. részében","a 2 részes cikk 1. részébenin the first of two articles"
"a 2. táblázatot az 1. táblázattal együtt szerencsés használni","a 2. táblázatot az 1. táblázattal együtt szerencsés használniTable II could be used in conjunction with Table I"
"a 2. ábrán megkíséreljük bemutatni ...-t","a 2. ábrán megkíséreljük bemutatni ...-tFig. 2 is an attempt to show some of the ..."
"a 4. sz. hivatkozásban található","a 4. sz. hivatkozásban találhatóis presented in ref 4)."
"a beiratkozott olvasók 15 %-a","a beiratkozott olvasók 15 %-a15 % of the total enrollment"
"a benne közölt adatok","a benne közölt adatokthe information presented in it"
"a beszerzés sorrendjében","a beszerzés sorrendjébenin accession order"
"a bibliográfiában szereplő címek","a bibliográfiában szereplő címektitles noted in the bibliography"
"a bázisévhez viszonyítva","a bázisévhez viszonyítvaover the base year"
"a cikk megírása idején","a cikk megírása idejénat the time of writing ..."
"a cikk további része","a cikk további részethe remainder of the article examines the ..."
"a cikk további részét a ...-nak szentelte","a cikk további részét a ...-nak szenteltedevoted the remainder of his article to ..."
"a ciklusidő értéke","a ciklusidő értékethe value for the cycle time"
"a családban marad","a családban maradIt will stay in the family."
"a cselekvés nyelvére lefordítva","a cselekvés nyelvére lefordítvatranslated into actions"
"a csillaggal jelölt címek","a csillaggal jelölt címektitles starred"
"a célból, hogy ...","a célból, hogy ...in efforts to (do)"
"a címek betűrendjében","a címek betűrendjébenarranged alphabetically by title"
"a dokumentumot rendelkezésre bocsájtó könyvtár","a dokumentumot rendelkezésre bocsájtó könyvtárthe lending library"
"a dolgozathoz felhasznált forrásmunkák","a dolgozathoz felhasznált forrásmunkákthe source material for this paper"
"a felelősség kizárólag az enyém","a felelősség kizárólag az enyémthe responsibility is fully my own"
"a fene egye meg!","a fene egye meg!Hell."
"a fene egye meg! bassza meg! (enyhébb káromkodás)","a fene egye meg! bassza meg! (enyhébb káromkodás)Oh, shit."
"a fenntartó típusa szerint csoportosítva","a fenntartó típusa szerint csoportosítvagrouped according to type of authority"
"a fentiek csupán javaslatok","a fentiek csupán javaslatokThe above are only suggestions"
"a fentiekből következik, hogy ...","a fentiekből következik, hogy ...it follows from the above that ..."
"a fiatalok nem olyanok, mint amilyenek mi voltunk","a fiatalok nem olyanok, mint amilyenek mi voltunkthe young are not what we were"
"a folyóirat foglalkozott a ... kérdésével","a folyóirat foglalkozott a ... kérdésévelthe journal talked about the ..."
"a folyóiratirodalom mint olyan","a folyóiratirodalom mint olyanperiodical literature qua periodical literature"
"a folyóiratok földrajzi megoszlása","a folyóiratok földrajzi megoszlásageographical composition of periodicals"
"a folyóiratokra vonatkozó indexek","a folyóiratokra vonatkozó indexekthe price indexes that he has compiled for U.S. periodicals"
"a függelékben: ...","a függelékben: ...Appended are ..."
"a fő különbség a ... és a ... között","a fő különbség a ... és a ... közöttthe chief difference between ... and ..."
"a fő nehézséget a ... jelenti","a fő nehézséget a ... jelentithe main difficulty is the ..."
"a G-vel jelölt körök ...-t jelentenek","a G-vel jelölt körök ...-t jelentenekthe circles marked""6"" denote ..."
"a G-vel jelölt vonal","a G-vel jelölt vonalthe line labelled G"
"A gyakorlat arról győz meg bennünket, hogy ...","A gyakorlat arról győz meg bennünket, hogy ...Experience convinces us that ..."
"a hangsúly nyomatékosan a ...-on van","a hangsúly nyomatékosan a ...-on vanthe emphasis is very strongly on the ..."
"a hangsúlyt a ...-ra téve","a hangsúlyt a ...-ra téveis explained, with the emphasis on the ..."
"a hegy megy Mohamedhez","a hegy megy Mohamedhezthe mountain comes to Mohammed"
"a helyi igényeknek kell megfelelnie","a helyi igényeknek kell megfelelniethe opening hours should reflect local needs"
"a helyzet az, hogy ...","a helyzet az, hogy ...The fact is that ..."
"a helyzet tapintatot követel","a helyzet tapintatot követelthe situation calls for tact"
"a jelen dolgozat szerzője","a jelen dolgozat szerzőjethe present writer"
"a jelentés egésze","a jelentés egészethe whole of the report"
"a jelentés lényegében egy felmérés","a jelentés lényegében egy felmérésthe report consists int the main of a survey"
"a jobb olvashatóság érdekében","a jobb olvashatóság érdekébenfor better readability, ..."
"A jog eredetéról (cím)","A jog eredetéról (cím)Of the origin of justice"
"a jövő információs rendszerei","a jövő információs rendszereifuture information systems"
"a jövő városai","a jövő városaithe cities of the future"
"a kereskedelem világa","a kereskedelem világathe commercial world"
"a kezdetek (cím)","a kezdetek (cím)The Beginnings."
"a kiadó engedélyével","a kiadó engedélyévelby permission of the publisher"
"a konferencia előadásai","a konferencia előadásaithe proceedings of the meeting"
"a konferencia megszervezése","a konferencia megszervezésethe organisation of the conference"
"a konferencián elhangzott előadás","a konferencián elhangzott előadáspaper presented at the ... conference"
"a korábbi tanulmány a ...-ban jelent meg, ismertetését ld. a ... számon","a korábbi tanulmány a ...-ban jelent meg, ismertetését ld. a ... számonthe previous study was published in Libr. J. 1 Oct 74, see 74/3816"
"a kritikusi közmegítélés szerint ...","a kritikusi közmegítélés szerint ...by common critical consent, it is a ..."
"a kulcskérdés az, hogy ...","a kulcskérdés az, hogy ...the key question is: ..."
"a kutatás, amelyről itt beszámolunk, ...","a kutatás, amelyről itt beszámolunk, ...the study reported on here was ..."
"a kérdés jó összefoglalása ... műve","a kérdés jó összefoglalása ... művea good summary is Jeff Pemberton, '...'"
"a kérdés nem ennyire egyszerű","a kérdés nem ennyire egyszerűthe question is not so simple as this"
"a kérdés továbbra is eldöntetlen","a kérdés továbbra is eldöntetlenthe issue still remains undecided"
"a későbbiekben állandóan erre az ábrára fogunk visszautalni","a későbbiekben állandóan erre az ábrára fogunk visszautalniConstant reference will be made to this figure throughout this section"
"a könnyebbik része a dolognak","a könnyebbik része a dolognakis the easy part"
"a könyv a ...-val kezdődik (indít)","a könyv a ...-val kezdődik (indít)the book opens with ..."
"a könyv megírásának időpontjáig","a könyv megírásának időpontjáigas of this writing"
"a könyvnek nevezett dolgok","a könyvnek nevezett dolgokthe things called books"
"a könyvtár összhangban van a helyi igényekkel","a könyvtár összhangban van a helyi igényekkelthe library is attuned to its local needs"
"a könyvtárban levő többi könyvvel együtt","a könyvtárban levő többi könyvvel együttalong with the other books in the library"
"a könyvtárnak a társadalomban elfoglalt helye","a könyvtárnak a társadalomban elfoglalt helyethe position of the library in society"
"a könyvtárostól megkövetelt ismeretek","a könyvtárostól megkövetelt ismeretekthe amount of knowledge required of the librarian"
"a következő fő címszavak alatt","a következő fő címszavak alattgrouped under the following main headings"
"a következő oldalakon megkísérlem megmutatni, hogy ...","a következő oldalakon megkísérlem megmutatni, hogy ...In the pages that follow, I shall attempt to show that ..."
"a következőkben ...","a következőkben ...in the following discussion, several ...'s are considered"
"a következőkben a ... jegyzékét láthatjuk","a következőkben a ... jegyzékét láthatjukFollowing is a list of ..."
"a következőket tárgyalja: ...","a következőket tárgyalja: ...Discusses the following: ..."
"a következőkre bontották:","a következőkre bontották:is broken down into: ..."
"a közbenső években","a közbenső évekbenin the intervening years"
"a lapszámokat is írja be! (kérdőíven)","a lapszámokat is írja be! (kérdőíven)(Please be specific; cite pages.)"
"a legfontosabb, hogy ...","a legfontosabb, hogy ...Most important, ..."
"a legjobb az lenne, ha ...","a legjobb az lenne, ha ...Best of all would be if the ... were"
"a legjobb esetben is","a legjobb esetben isat best"
"a legjobb, amit tehetünk, hogy ...","a legjobb, amit tehetünk, hogy ...The best we can do is (do)"
"a legjobb, ha ...","a legjobb, ha ...It is best if this (is) <br/><br/>It is preferable that ..."
"a legkevésbé sem vagyok feldúlva","a legkevésbé sem vagyok feldúlvaI am not in the least agitated"
"a legkevésbé sem!","a legkevésbé sem!not a bit of it!"
"a legkülönbözőbb módon","a legkülönbözőbb módonin a variety of ways"
"a legkülönbözőbb okokból","a legkülönbözőbb okokbólfor a variety of reasons"
"a legkülönfélébb okok miatt","a legkülönfélébb okok miattfor a variety of reasons"
"a legrosszabb esetben is","a legrosszabb esetben isat the very least"
"a legrégebb időktől a ...-on keresztül máig","a legrégebb időktől a ...-on keresztül máigfrom early times through the ... to the present day"
"a legrégibb időktől napjainkig","a legrégibb időktől napjainkigfrom the earliest times to the present"
"a legtöbb esetben","a legtöbb esetbenin most instances"
"a legutolsó dolog, amire szükségem van, a ...","a legutolsó dolog, amire szükségem van, a ...the last thing I want is ..."
"a legutóbbi időkig","a legutóbbi időkiguntil lately"
"A lehetőségek röviden a következők: ...","A lehetőségek röviden a következők: ...Briefly the possibilities are: - a) ..."
"a leveleket a ... címre kérjük küldeni","a leveleket a ... címre kérjük küldeniAll communications should be addressed to: ..."
"a levélcímet lásd a 9. fejezetnél","a levélcímet lásd a 9. fejezetnél- address as in 9 above; (see address in 4 above)"
"A lényeg az, hogy ...","A lényeg az, hogy ...Anyway, ..."
"a lényeg az, hogy ...","a lényeg az, hogy ...But let's not talk about him; the great thing is he's out of the way <br/><br/>The essential point is that the ... <br/><br/>The point is that ... <br/><br/>the important point is that ..."
"a lényeg: ...","a lényeg: ...the essentials are the ... (singular!)"
"a lényege (történeté)","a lényege (történeté)the essence of it"
"a maga módján","a maga módjáneverybody is a screwball in their own way"
"a maga nemében a legnagyobb szervezet volt","a maga nemében a legnagyobb szervezet voltwas the largest organization of its kind"
"a maga részéről","a maga részérőlfor his part"
"a maga útját járta","a maga útját jártahas gone its own way"
"a magam részéről ...","a magam részéről ...for my part, I (did)"
"a mai napig","a mai napigto date"
"a megfelelő sorban","a megfelelő sorbanin the corresponding row"
"a megoldás a ...!","a megoldás a ...!... is the key!"
"a megírás idején","a megírás idejénat the time of writing"
"a miniszter jóváhagyásával nevezik ki","a miniszter jóváhagyásával nevezik kiis appointed with the approval of the minister of cultural affairs"
"a munkások részéről jelentkező követelés","a munkások részéről jelentkező követelésdemand on the part of the workers"
"a munkával kapcsolatos olvasnivalók","a munkával kapcsolatos olvasnivalókjob-related reading material"
"a másik ok az volt, hogy ...","a másik ok az volt, hogy ...a second reason was that the ..."
"a mögötte rejlő ok","a mögötte rejlő okthe underlying reason for ..."
"a mű 4 fő részből áll","a mű 4 fő részből állthe work is in four main parts"
"a mű fő része a ...-val foglalkozik","a mű fő része a ...-val foglalkozikthe major portion of the work deals with ..."
"a nagy kérdés az, hogy vajon ...","a nagy kérdés az, hogy vajon ...the big question is whether ..."
"A neve nem érdekes. (nem akarom elárulni)","A neve nem érdekes. (nem akarom elárulni)His name doesn't matter."
"a pokolba vele!","a pokolba vele!the hell with it! <br/><br/>to Gehenna with it"
"a probléma egy lehetséges megoldása","a probléma egy lehetséges megoldásaa solution to the problem"
"a probléma exponálása (kifejtése)","a probléma exponálása (kifejtése)is still one of the best expositions of the problem"
"a problémát ... ismerte fel (fogalmazta meg)","a problémát ... ismerte fel (fogalmazta meg)the problem was recognised most clearly by ..."
"a referensek jelentése a munkabizottságnak","a referensek jelentése a munkabizottságnakreport from the rapporteurs to the Workshop"
"a referátumot lásd a ... számon","a referátumot lásd a ... számonFor abstract see abstract number 70/1368."
"a rendelkezésre álló hely nem teszi lehetővé","a rendelkezésre álló hely nem teszi lehetővéspace does not permit a ..."
"a rendszer létrehozója (kifejlesztője)","a rendszer létrehozója (kifejlesztője)the developers of the system"
"a rendszerek frontján (átv.)","a rendszerek frontján (átv.)on the systems front"
"a rossz nyelvek szerint ... (pletyka)","a rossz nyelvek szerint ... (pletyka)It is rumoured that ...; There are rumours ... <br/><br/>There's a rumour that ..."
"a rossz utat választottam","a rossz utat választottamI took the wrong turns"
"a részleteket lásd a 13. fejezetben","a részleteket lásd a 13. fejezetbensee Chapter 13 for full details."
