"#name"|"Korean Law Dic"
"가벌적 위법성론 可罰的 違法性論"|"실질적 위법성론에서 파생된 이론이다. 사회적 상당성론은 위법성의 실체를 법익의 침해가 사회적 상당성을 이탈한 사태라고 이해하는 견해이다. 법익침해는 위법성의 근거가 되는 유력한 요소이지만, 사회생활관계가 복잡해지고 각인간의 이해가 상충함으로써 각종의 법익상호간의 충돌은 불가피한 현상이라는 기본적 태도에 의하여, 형법의 보호는 모든 태양의 침해를 방지할 수 없고, 다만 사회생활상의 상규를 이탈하고 그대로 방임해 버릴 수 없는 중요한 성질 및 태양에 대한 법익침해를 방지하는데 한정하고, 환언하면 법익의 침해가 있었다 하더라도 그것이 사회생활의 상규에서 부득이 용인되는 정도의 것인 때에는 그 행위는 사회적 상당성의 범위 내의 행위이며 위법하다고 할 수 없고, 이때 사회적 상당성의 판단에 대해서는 침해된 법익의 중요성 및 피해의 정도 등 실해에 있어서 뿐만 아니라, 행위자의 의사를 포함한 행위의 태양까지도 중요시하여야 한다고 한다. 그런데 이 설은 위법성의 실질에 대하여 법익침해라는 [결과무가치]뿐만 아니라 이른바 [행위무가치]의 면도 중요시하여야 한다는 목적적 행위론의 주장과도 일면상통한 것이고, 현재 목적적 행위론의 제창자인 벨첼에 의하여 발견된 이론이다. 사회적 상당이론에 의하여 형법각본조의 죄의 요건을 검토해 보면 이 중에는 형식적으로는 범죄구성요건에 해당하지만 본질적으로는 사회적 상당성이 있고 처벌의 가치가 없는 행위도 적지 않게 찾아볼 수 있다. 그러므로 구성요건의 해석에 있어서 어떠한 종류의 행위가 당해구성요건이 예상하는 가벌적 질서의 위법성이 없다는 것을 이유로 구성요건해당성을 부인하여야 한다는 것이 합리적 해석이라고 생각한다. 이와 같은 해석을 이론적으로 뒷받침하는 학설이 가벌적 위법성이론, 즉 구성요건은 형벌을 필요로 하는 정도의 실질적 위법성이 없는 행위를 포함하지 않는다는 이론으로서, 사회적 상당성론과 그 기초에 있어서 공통적 요소를 갖고 있는 것이다."
"가분급부 可分給付 [독]  teilbare Leistung"|"불가분급부와 대립되는 개념으로 그 성질이나 가치를 해치지 않고 분할할 수 있는 급부. 가분급부와 불가분급부의 구별은 채권자 또는 채무자가 다수 있는 경우에 그 실익이 있는 것으로 가분급부는 법률의 규정이나 당사자의 합의가 있는 경우에는 분할해서 이행할 수 있는 반면에 불가분급부는 언제나 일체로서 다루어지므로 일부이행·일부불능 등의 문제가 생기지 않는다."
"가사소송 家事訴訟"|"인격의 존엄과 남녀의 평등을 기본으로 하고 가정평화와 친족상조의 미풍양속을 유지·향상시키기 위하여 제정된 가사소송법(1990.12.31 법률 제4300호)에 의한 특별민사소송. 이 법은 총칙, 가사소송, 가사비송, 가사조정, 이행의 확보, 벌칙, 총 72개조와 부칙으로 구성되어 있다. 이 법에 규정된 가사사건의 심리와 재판은 가정법원의 전속관할로 되어 있다(법원조직법 3①4). 가사소송법이 규정하는 가사소송에는 혼인관계소송·부모와 자관계소송·호주승계관계소송이 있다. 가정법원의 관장사항으로는 가사소송사건과 가사비송사건이 있는데 가사소송사건에는 (1)가류사건(혼인의 무효·이혼의 무효·인지의 무효·친생자관계존부확인·입양의 무효·파양의 무효·호주승계의 무효 또는 회복) (2)나류사건(사실상혼인관계존부확인·혼인의 취소·이혼의 취소·재판상 이혼·부의 결정·친생부인·인지의 취소·인지에 대한 이의·인지청구·입양의 취소·파양의 취소·재판상 파양) (3)다류사건〔①약혼해제 또는 사실혼관계부당파기로 인한 손해배상청구(제3자에 대한 청구를 포함한다) 및 원상회복의 청구 ②혼인의 무효·취소, 이혼의 무효·취소 또는 이혼을 원인으로 하는 손해배상청구(제3자에 대한 청구를 포함한다) 및 원상회복의 청구 ③입양의 무효·취소, 파양의 무효·취소 또는 파양을 원인으로 하는 손해배상청구(제3자에 대한 청구 포함) 및 원상회복의 청구]이 있다(가소2①). 가사소송절차에 관하여는 이 법에 특별한 규정이 있는 경우를 제외하고는 민사소송법의 규정에 의한다(가소12). 가사소송은 특별한 규정에 있는 경우를 제외하고는 피고의 보통재판적소재지의 가정법원의 관할로 하며(가소13), 수개의 가사소송사건 또는 가사소송사건과 가사비송사건의 청구원인이 같은 사실관계에 기초하거나 1개의 청구의 당부가 다른 청구의 당부의 전제가 된 때에는 이를 1개의 소로 제기할 수 있다(가소14)."
"가석방 假釋放 [영] patrole [독]  vorl ufige Entlassung"|"가석방은 자유형(징역 또는 금고)의 집행을 전부 종료하지 않았으나 행장(行狀)이 양호하고 개전의 정이 현저하여 나머지 형벌의 집행이 필요하지 않다고 인정되는 경우에는 일정한 조건하에 수형자를 임시로 석방하고, 그 후의 나머지 형기에 상당하는 기간 내에 석방조건을 위반하지 않고 무사히 경과할 때에는 이미 잔여형의 집행은 종료한 것으로 보는 형사정책적인 처분이다. 이 제도의 형사정책적 의의는 이미 개전하고 있는 수형자의 불필요한 구금을 될 수 있는 대로 피하고, 수형자에게 장래의 희망을 갖게 하며 아울러 형기종료 후에 사회복귀를 편리하게 하려는 데 있는 것으로, [형의 집행유예]제도 등과 동일하다. 가석방제도는 1791년 영국의 식민지 오스트레일리아에서 유형수를 섬 내에 거류할 것을 조건으로 석방한 데서 시작한다. 그 후 1829년에 법률로 분류제를 채택함과 동시에 수형자의 상급자에 대한 처우로서 취소를 조건으로 하는 [가석방](Ticket of leave during good Conduct)을 인정함으로써 확립하게 되었다. 현행형법은 가석방의 조건으로서 [징역 또는 금고의 집행중에 있는 자가 그 행장이 양호하여 개전의 정이 현저한 때에는 무기에 있어서는 10년, 유기에 있어서는 형기의 3분의 1을 경과한 후 행정처분으로 가석방을 할 수 있다]고 규정하고 있다. 다만 소년범에 대해서는 징역 또는 금고의 선고를 받은 소년에 대하여 무기에 있어서는 5년, 15년의 유기형에는 3년, 부정기형에는 단기의 3분의 1을 경과하면 가석방을 허가할 수 있도록 하였다(소65). 가석방을 허가하는 데는 [개전의 정이 현저]하여야 하는데, 이러한 상황이 있느냐의 여부를 심사하는 절차 및 가석방 절차 등에 관해서는 행형법 제49조 이하, 행형법시행령 제152조 이하, 가석방심사등에관한규칙 제2조 이하에 규정 되어 있다. 또 가석방을 할 경우에 벌금 또는 과료의 병과가 있는 때에는 그 금액을 완납하여야 한다(형72②). 가석방은 어떤 의미에서는 자유형의 연장이며 시설외 처우라 할 수 있다. 따라서 구금은 해제되어 자유사회로 해방되었으나 그 행동에 대해서는 완전히 방임하지 않고 어느 정도로 감시할 필요가 있고(행형시157), 만일 이 감시에 관한 규칙을 위배하거나, 보호관찰의 준수사항을 위반하고, 그 정도가 무거운 때에는 가석방을 취소할 수 있다(형75). 또 가석방중 금고 이상의 형의 선고를 받아 그 판결이 확정된 때에는 가석방처분은 효력을 잃는다. 그렇지만 과실로 인한 죄로 형의 선고를 받았을 때에는 그러하지 아니하다(형74). 가석방의 효과는 가석방의 처분을 받은 후 그 처분이 실효 또는 취소되지 아니하고 가석방기간을 경과한 때에는 형의 집행을 종료한 것으로 본다(형76). 따라서 집행유예에 있어서와 같이 형의 선고 그 자체가 효력을 잃는 것과 다르고 유죄판결 그 자체도 영향을 미치지 아니한다. 그러나 가석방이 실효되거나 취소되었을 경우에는 가석방중의 일수는 형기에 산입하지 아니한다(형76②). 따라서 가석방이 실효 또는 취소되면 가석방처분을 받았던 자는 가석방 당시의 잔형기간의 형을 집행받아야 할 것이다. 여기에 [가석방중의 일수]라 함은 가석방된 익일로부터 기산하여 실효 또는 취소된 후 구금된 전일까지의 일수를 말한다."
"가스·전기 등 공급방해죄 가스·電氣 등 供給妨害罪"|"가스, 전기 또는 증기의 공작물을 손괴 또는 제거하거나 이에 따라서 사람의 생명, 신체 또는 재산에 위험을 발생하게 하는 죄이다. 전자의 경우는 1년 이상 10년 이하의 징역(형173①②). 후자의 경우는 2년 이상의 유기징역에 처하며 사망에 이르게 한 때에는 무기 또는 3년 이상의 징역에 처한다(형173③). 이 위험은 공공에 대한 위험이 필요한 것이며(구체적 위험범) 이 죄의 고의에 대해서는 견해가 대립되어 있다. (1)소극설：누출 등의 행위에 대해서는 인식예견이 필요하지만 결과의 발생에 대해서는 필요하지 않는다고 한다. (2)적극설：위험발생에 대해서도 인식예견이 필요하다. 그러나 위험의 예견이면 족하고 결과의 구체적인 인식은 필요하지 않는다고 한다. 전설이 통설이라고 할 수 있는데 후설도 유력하다. 이 죄를 범하고 이로 인하여 사람을 사상케 했을 경우는 결과적 가중범이다."
"가스·전기 등 방류죄 가스·電氣 등 放流罪"|"가스, 전기, 증기 또는 방사선이나 방사성 물질을 방출, 유출 또는 살포시켜 사람의 생명, 신체 또는 재산에 대하여 위험을 발생시키는 죄이다(형172의2). 가스·전기 등 방류죄의 형은 1년 이상 10년 이하의 징역에 처하며 이로 인하여 사람을 상해에 이르게 한 때에는 무기 또는 3년 이상의 징역에 처하고, 사망에 이르게 한 때에는 무기 또는 5년 이상의 징역에 처한다."
"가압류 假押留 [독] Arrest"|"특별담보 없는 채권자의 채권보전절차. 채권자가 아무리 명백한 금전채권을 가지고 있더라도 특별담보가 없는 이상, 일반재산에 대한 장차 집행은 불완전한 상태에 있다. 채무자의 재산상태가 변화되거나 또는 재산을 처분·은닉하는 경우를 예상할 수 있기 때문이다. 가압류는 이와 같은 사태에 대비하여 채권의 집행을 보전하기 위하여 행하여지는 것이다(민소696). 가압류의 요건은 피보전의 권리가 존재하고, 또 보전의 필요성이 있을 것 등이다. 이 두 요건이 있을 경우에 채권자는 법원에 가압류신청을 할 수 있다. [보전의 필요]라 함은 나중에 승소하더라도 판결의 집행을 할 수 없거나, 판결의 집행이 심히 곤란할 염려가 있는 때, 특히 외국에서 판결을 집행할 경우를 의미한다(민소697). 심리는 서면으로 행하여지며 가압류의 요건이 소명되거나, 채권자가 보증을 세운 경우에는 가압류명령을 하게 된다. 이 명령에 의하여 집행보전의 필요한 범위 내에서 보전집행이 행하여진다."
"가정항변 假定抗辯 [독]  eventuelle Einrede"|"자기의 항변이 배척되는 경우에 대비하여 동일의 목적을 달성하기 위하여 예비적으로 이와 양립하지 않는 항변을 하는 것이다. 반격하기 위한 항변은 가정적(예비적)으로 할 수 있다. 즉 두 가지 사실의 진술이 상호간에 모순되어 일관하지 않는 경우에는 취지가 불명료하다고 하여 기각되는 경우도 있으나 하나의 사실의 존재가 부정됨으로써 공격·방어의 목적을 달성할 수 없게 될 경우에 대비하여 가정적으로 제기하는 항변이 있다. 예를 들면 임금반환청구소송에 있어서 피고가 [돈을 차용한 사실은 없다. 만일 차용하였다 하더라도 이미 변제하였다]라고 항변하는 경우와 같은 것이다."
"가집행선고 假執行宣告 [독] Vorl ufige Vollstreckbarkeit"|"종국판결의 확정 전에 이 판결에 근거하여 집행할 수 있도록 허용하는 재판이다. 판결은 형식적 확정력을 갖고 비로소 그 내용에 따라 효력을 발생하는 것이며, 집행력도 동일하다. 급부판결이 있더라도 상대방의 상소에 의하여 소송은 다시 계속되며 확정도 그만큼 지연되는 것이다. 다만 그 사이에 채무자의 재산상태가 악화되어 버린다면 재판이 확정되어 집행을 할 때에는 이미 채무변제를 받을 수 없고, 승소판결을 겨우 받았지만 무의미하게 된다. 이와 같은 결과를 방지하기 위하여 특히 예외적으로 확정을 받지 않고 집행을 할 수 있도록 인정된 제도가 가집행선고다. 그러므로 상대방이 상소하더라도 집행은 계속되는 것이다. 다만, 경우에 따라서는 집행의 정지 또는 취소가 명해지는 경우도 있다(민소474). 그러나 채무자인 상대방측에서 본다면 상소에 의하여 그 판결을 취소할 가능성이 남아 있으나, 자기의 재산에 대해서 집행한 것이므로 가집행의 요건을 엄격하게 제한하는 한편 판결의 취소 또는 변경된 경우에는 급부한 것을 반환하는 것은 물론이고 손해배상도 무과실책임으로서 인정하고 있다. 더욱이 그것은 피고인의 신청에 의하여 그 판결을 취소·변경할 때에 명하게 되는 것이다(민소201②). 주의해야 하는 것은 가압류·가처분 등도 가집행이라 말하고 있으나, 이 집행의 효력은 확정판결의 집행과 동일한 것이므로(민소469) 그 판결이 상급심에서 취소되더라도 이미 완료한 집행절차는 무효로 되지 않는 점에서 가집행선고와 구별하여야 하는 것이다. 가집행의 요건은 먼저 재산상 청구할 수 있는 판결이 있을 것, 판결이 집행에 적합할 것, 그것에 대하여 가집행의 선고의 필요가 있을 것 등이다(민소199). 그러므로 이러한 요건이 구비된 때에는 승소를 예기하는 원고가 판결전에 신청한 경우 또는 법원의 직권에 의하여 선고하는 것이다. 민사소송법(199①)에 의하면 원고의 신청이 없더라도 가집행선고를 부하도록 되어 있다. 다만, 이때에 상대방의 손해를 고려하여 원고에게 담보를 제공하게 하는 조건으로 허용하거나 혹은 반대로 피고가 담보를 제공하면 승소원고에게 불측의 손해를 주게 될 염려가 없는 것이므로 그것을 조건으로 가집행을 면제받을 수 있음을 선고할 수 있다.(민소199②)"
"가처분 假處分 [독] einstweilige Verf gung"|"가처분에는 두 가지 종류가 있다. 그 하나는 계쟁물에 관한 가처분이다. 특정물(토지)의 인도를 청구하려는데, 상대방이 그 목적지상에 건축을 하고 있을 경우에 채권자가 이 청구권에 기하여 장차 강제집행을 하는 것이 현재 이상으로 어렵게 되었을 때(가처분의 필요) 후일 집행보전을 위하여 인정하고 있는 것이 계쟁물에 관한 가처분이다(민소714①). 또 하나는 임시적 지위를 정하는 가처분이다. A가 교통사고로 B를 부상케 하였는데 A는 자신의 과실이 없음을 이유로 무책임을 주장하고, B는 A의 손해배상책임을 주장하여 다툼이 있을 때 B의 응급치료를 위하여(임시 지위를 정하는 가처분의 필요) B에게 손해배상청구권이 있다고 우선 가정하고 A에게 일정액의 배상금지급을 명하는 예이다. 이와 같이 쟁의있는 권리관계에 대하여 임시의 지위를 정할 필요가 있을 때 하는 것인데(민소714②) 이에는 재산법상의 권리관계에 한하지 않는다."
"가치권 價値權"|"질권이나 저당권은 채무자가 기간내에 채무변제를 하지 않는 경우에는 다른 채권보다 우선적으로 변제를 받을 수 있는 권리이다(민329·342·356·370). 말하자면 우선변제권이 질권이나 저당권의 궁극적인 내용인 것이다. 그리고 우선변제권의 대상은 경매에 의한 매득금이며 경매에 의한 매득금은 질물이나 저당물건의 교환가치가 현실화한 것이다. 따라서 질권이나 저당권은 물의 교환가치를 파악(지배)하는 권리라고 할 수 있다. 그러므로 질권이나 저당권이라는 권리유형으로써 포착하고 있는 것이다."
"가택수색 家宅搜索"|"경찰관직무집행법에 의하여 임검·검사·조사 등을 위한 행정상의 즉시강제의 수단으로서 가택수색이 행하여지는 수가 있다. 음식물 저장소의 검사(식위17), 총포·화약류의 제조소·저장소의 임검(총포도검44) 등이 그 예이다. 행정상의 즉시강제는 상대방의 의무위반을 요하지 않고 행하여지는 예외적 작용이므로 엄격한 법률의 근거를 요한다. 가택수색을 행함에 있어서 법관의 영장이 필요한가에 관하여 학설이 갈리어 있으나 헌법의 취지상 원칙적으로 그것을 요한다고 봄이 타당하다(헌16 참조). 형사소송법상 강제수사의 방법으로도 행하여진다."
"가택수색 家宅搜索"|"주거 그 밖의 장소에 있어서 행하는 수색(형소109·123③·137). 법원은 필요한 경우에 피고인의 신체·물건 또는 주거 그 밖의 장소를 수색할 수 있다. 그러나 피고인이 아닌자의 주거 그 밖의 장소에 관하여는 압수할 물건이 있음을 인정할 수 있는 경우에 한하여 수색할 수 있다(형소109). 원래 증거물의 발견을 위하여 행하나 사람을 발견하기 위해서도 행하는 경우가 있다. 수색은 지방법원 판사가 발부하는 압수수색영장에 의해 할 수 있다(형소215). 또한 행정상 즉시강제의 수단으로서 가택수색이 행하여지는 경우도 있다."
"가혹행위 苛酷行爲"|"타인으로 하여금 심히 수치·오욕 또는 고통을 주는 행위. 따라서 폭행·협박은 물론 정신적 또는 육체적 고통을 주는 행위도 포함한다. 재판·검찰·경찰 그 밖에 인신구속에 관한 직무를 행하는 자, 그 보조자가 직무집행중 형사피고인·피구금자·피의자 기타 소송관계인 등 수사·재판에 있어서 신문·조사의 대상으로 되는 사람에 대하여 폭행 또는 가혹한 행위가 있으면 본죄가 성립된다(형125). 처벌은 5년 이하의 징역과 10년 이하의 자격정지이다."
"가환부 假還付"|"압수물은 소유자·소지자·보관자·제출인의 청구에 의하여 검사 및 피고인 또는 변호인에게 미리 통지하고 결정으로 일시적으로 반환할 수 있다(형소133①후·135). 이것을 가환부라 한다. 법원이 가환부하는 경우도 있으나 수사기관이 압수한 것도 가환부할 수 있다(형소219). 이러한 규정의 취지는 압수를 계속할 필요가 전혀 없는 것은 아니지만, 일시적으로 압수를 해제하여도 수사 또는 소송상 지장이 없을 때에는 반환하는 것이 권리침해를 적게 하는 것이므로 이러한 절차를 인정하고 있다. 특히 수사기관은 수사상 또는 공소유지상 필요하지 않은 경우는 신속하게 환부 또는 가환부를 하는 것이 요망된다. 변호인측은 때때로 이 중에서 유리한 증거를 발견하는 경우가 종종 있다. 가환부는 어디까지나 가반환하는 것이므로 압수 그 자체의 효력은 잃지 않는다. 가환부를 받은 자는 그 동안 보관의 의무를 부담하고 임의로 처분하는 것은 허용되지 않는다. 가환부를 받은 물건에 대해서 종국적 재판으로 별도의 선고가 없는 한 환부의 선고가 있는 것으로 본다. 따라서 선고 후에는 임의로 처분할 수도 있다."
"각부장관 各部長官"|"행정각부의 장을 말한다. 행정각부에는 장관 1인을 두며, 각부장관은 국무위원 중에서 국무총리의 제청으로 대통령이 임명한다(헌94, 정조26②). 따라서 각부장관은 국무위원의 지위를 겸하게 된다. 그러나 이 두 지위는 엄격히 구별되어야 한다. 왜냐하면 국무위원은 회의체인 국무회의구성원으로서의 지위로서, 이 지위에서는 다른 구성원, 즉 대통령이나 국무총리와 동등하지만, 행정각부장관은 행정관청이며 이 지위에서는 상급행정관청인 대통령이나 국무총리의 지휘·감독을 받게 되기 때문이다. 행정각부장관은 법령의 정하는 바에 따라 행정사무를 주관하며, 다음과 같은 권한을 갖는다. (1)부령제정권：행정각부장관은 법률이나 대통령령의 위임 또는 직권으로 부령을 발할 수 있다. 부령은 법제처장의 사전심사를 요하나 국무회의의 심사를 거칠 필요는 없다(헌95, 정조24①). (2)법률안·대통령령안제출권：행정각부장관은 국무위원의 자격으로 그 주관사무에 관하여 법률이나 대통령령의 제정·개정·폐지를 필요로 할 때에는 그 안을 작성하여 국무회의에 제출할 수 있다(헌89①3, 정조12③). (3)행정감독권：행정각부장관은 소관사무를 통할하며 소속공무원을 지휘·감독하고, 소관사무에 관하여 지방행정의 장을 지휘·감독한다(정조7①·26③). 여기서 지방행정의 장이라 함은 국가의 지방행정관청뿐 아니라, 지방자치단체의 기관이 위임사무를 처리하는 경우를 포함한다. (4)인사권：행정각부장관은 법령의 정하는 바에 따라 소속공무원의 임명권·임명제청권·징계권·영전수여신청권 등을 갖는다. (5)행정정책의 수립과 운영：행정각부장관은 소관사무에 관하여 정책을 수립·운영하며 이에 필요한 의안을 국무회의에 제출할 수 있다(헌8913·17, 정조12③). (6)재정에 관한 권한：행정각부장관은 중앙관서의 장으로서 헌법 또는 예산회계법 등에 의거 각종 재정에 관한 권한을 갖는다. (7)행정처분권：행정각부장관은 법령의 정한 바에 따라 청원에 대한 심사·통지, 소원재결, 소속기관 사이의 주관쟁의결정, 감독처분, 허가·특허 등 각종의 행정처분이나 사실행위를 할 권한이 있다."
"각하 却下"|"국가기관에 대한 행정상 또는 사법상의 신청을 배척하는 처분. 특히 소송상 법원이 당사자 그 밖의 관계인의 소송에 관한 신청을 배척하는 재판에 사용된다. 다만 민사소송법상 기각과 구별하여 사용하는 경우에는 소송요건 또는 상소의 요건을 갖추지 않은 까닭으로 부적법인 것으로서 사건의 일체를 심리함이 없이 배척하는 재판을 말하나 법문의 용례는 일치하고 있지 않다(민소373·430 참조). 구형사소송법은 기각이 부적법으로 배척당하는 재판이고(상소기각은 이유없음과 부적법의 양자를 포함한다), 각하는 소송의 신청을 이유없는 것으로 또는 부적법으로서 배척하는 재판을 말했으나(구형소22·322·344), 신형사소송법은 양자의 구별을 두지 않고 기각으로 통일하고 있다(형소20·270②·272②·273·328)."
"간수자 看守者"|"법률에 의하여 구금된 자를 간수하는 자가 피구금자를 도주시킬 경우에는 특별히 도주원조죄를 구성하고(형148), 또 피구금자에 대하여 폭행이나 기타 가혹한 행위를 하면 공무원의 직무에 관한 죄의 일종에 해당되며(형125), 법률에 의하여 구금된 부여를 간음하면 처벌된다(형303②)."
"간음 姦淫"|"넓은 뜻의 추행행위의 하나. 부녀에 대하여 위법한 성행위를 하는 남자쪽의 행위. 간음 중에도 13세 이상의 부녀에 대한 간음은 폭행·협박을 수단으로서 행한 때에는 해당되고 13세 미만의 부녀에 대한 간음은 폭행·협박의 유무를 불문하고(합의에 의한 경우라 할지라도) 강간죄가 성립한다(형297·305). 또 심신상실이나 항거불능의 상태를 이용하여 간음한 때에도 역시 강간죄의 성립요건이 된다(형299). 이 두 가지의 경우를 준강간죄라고 한다. 이와 같은 범죄로 인하여 사람을 상해하거나 상해에 이르게 한 때에는 형이 가중된다(형301). 미성년자 또는 심신미약자에 대하여 위계 또는 위력으로써 간음한 경우, 법률에 의하여 구금된 부녀를 감호하는 자가 그 부녀를 간음한 경우 및 혼인을 빙자하거나 그 밖에 위계로써 음행의 상습이 없는 부녀를 기만하여 간음한 경우에도 처벌된다. 이러한 경우는 어느 정도 피해자인 부녀가 승낙하더라도 범죄가 성립한다는데 특색이 있다."
"간이공판절차 簡易公判節次"|"비교적 경미한 사건에 대하여 간단한 절차로써 신속하게 처리하기 위한 공판절차이다. 피고인이 공판정에서 공소사실에 대하여 자백한 때에는 법원은 그 공소사실에 한하여 간이공판절차에 의하여 심판할 것을 결정할 수 있다(형소286의2). 법원은 간이공판절차사건에 대하여 피고인의 자백이 신빙할 수 없다고 인정되거나 간이공판절차로 심판하는 것이 현저히 부당하다고 인정할 때에는 검사의 의견을 들어 그 결정을 취소하여야 한다(형소286의3). 간이공판절차에서의 증거조사는 법원이 상당하다고 인정하는 방법으로 증거조사를 할 수 있다(형소297의2)."
"간이법원 簡易法院"|"소가가 근소한 소액사건의 청구에 관련된 민사소송의 제1심 또는 벌금이하의 형에 해당하는 죄 외에 일정한 간이한 범죄에 관련된 형사사건의 제1심의 재판권을 가진 법원으로 설치하는 경우가 있으나 현행법에서는 인정되지 않는다. 현행의 즉결심판제(법조34·35)의 폐단을 시정하고 사건의 신속한 처리와 지방법원·고등법원·대법원의 사안을 줄이고 민·형사사건의 참된 인권옹호를 위하여 이 제도의 설치가 요망되고 있다."
"간이인도 簡易引渡 [독]  bergabe kurzer Hand"|"양수인이 이미 물건을 점유하고 있을 때에는 따로 인도라는 절차를 밟을 필요가 없으므로 당사자의 의사표시만으로써 인도가 끝난 것으로 하는 제도(민188). 예컨대 B가 A로부터 빌린 자전거를 A로부터 받았다고 하는 경우에는 한 번 A에게 되돌려주었다가 다시 A로부터 인도를 받는다는 것은 헛된 수고만 더하기 때문에 실제로 물건의 이동을 일체 하지 않고 A와 B의 합의만으로 인도를 끝내버리는 간편한 인도방법이다."
